href,political_party,name_given,name_family,name_full,title,terms,address,phone,website,twitter_handle,name_middle
http://www.naag.org/naag/attorneys-general/whos-my-ag/alabama/luther-strange.php,R,Luther,Strange,Luther Strange,Alabama,Elected: 2010, 2014,501 Washington Ave.  P.O. Box 300152 Montgomery, AL 36130-0152,(334) 242-7300,http://www.ago.state.al.us/,lutherstrange,
http://www.naag.org/naag/attorneys-general/whos-my-ag/alaska/craig-w.-richards.php,,Craig,Richards,Craig W. Richards,Alaska,Appointed: December 2014,P.O. Box 110300 Juneau, AK 99811-0300,(907) 465-2133,http://www.law.state.ak.us/,,W.
http://www.naag.org/naag/attorneys-general/whos-my-ag/american-samoa/talauega-eleasalo-v.-ale.php,,Talauega,Ale,Talauega Eleasalo V. Ale,American Samoa,Appointed: January 2014,American Samoa Gov't, Exec. Ofc. Bldg, Utulei, Territory of American Samoa, Pago Pago, AS 96799,(684) 633-4163,http://americansamoa.gov/index.php/2012-04-25-19-44-32/2012-04-25-19-52-04/departments/legal-affairs,,Eleasalo V.
http://www.naag.org/naag/attorneys-general/whos-my-ag/arizona/mark-bronvich.php,R,Mark,Brnovich,Mark Brnovich,Arizona,Elected: 2014,1275 W. Washington St., Phoenix, AZ 85007,(602) 542-4266,http://www.azag.gov/,GeneralBrnovich,
http://www.naag.org/naag/attorneys-general/whos-my-ag/arkansas/leslie-rutledge.php,R,Leslie,Rutledge,Leslie Rutledge,Arkansas,Elected: 2014,323 Center St., Suite 200, Little Rock, AR 72201-2610,(800) 482-8982,http://www.ag.arkansas.gov/,AGRutledge,
http://www.naag.org/naag/attorneys-general/whos-my-ag/california/kamala-harris.php,D,Kamala,Harris,Kamala D. Harris,California,Elected: 2010, 2014,1300 I St., Ste. 1740, Sacramento, CA 95814,(916) 445-9555,http://ag.ca.gov/,KamalaHarris,D.
http://www.naag.org/naag/attorneys-general/whos-my-ag/colorado/cynthia-coffman.php,R,Cynthia,Coffman,Cynthia Coffman,Colorado ,Elected: 2014,Ralph L. Carr Colorado Judicial Center 1300 Broadway, 10th Floor, Denver, CO 80203,(720) 508-6000,http://www.coloradoattorneygeneral.gov/,coattnygeneral,
http://www.naag.org/naag/attorneys-general/whos-my-ag/connecticut/george-jepsen.php,D,George,Jepsen,George Jepsen,Connecticut,Elected: 2010, 2014,55 Elm St., Hartford, CT 06106,(860) 808-5318,http://www.ct.gov/ag/,AGJepsen,
http://www.naag.org/naag/attorneys-general/whos-my-ag/delaware/matthew-denn.php,D,Matthew,Denn,Matthew Denn,Delaware,Elected: 2014,Carvel State Office Bldg., 820 N. French St., Wilmington, DE 19801,(302) 577-8338,http://attorneygeneral.delaware.gov/,matt_denn,http://www.naag.org/naag/attorneys-general/whos-my-ag/district_of_columbia/karl-racine.php
http://www.naag.org/naag/attorneys-general/whos-my-ag/florida/pam-bondi.php,R,Pam,Bondi,Pam Bondi,Florida,Elected: 2010, 2014,The Capitol, PL 01, Tallahassee, FL 32399-1050,(850) 414-3300,http://myfloridalegal.com/,pambondi,
http://www.naag.org/naag/attorneys-general/whos-my-ag/guam/elizabeth-barrett-anderson.php,,Elizabeth,Barrett-Anderson,Elizabeth Barrett-Anderson,Guam ,Elected: 2014,Office of the Attorney General, ITC Building, 590 S. Marine Corps Dr, Ste. 706, Tamuning, Guam 96913,,http://www.guamag.org/,,http://www.naag.org/naag/attorneys-general/whos-my-ag/hawaii/douglas-s.-chin.php
http://www.naag.org/naag/attorneys-general/whos-my-ag/idaho/lawrence-wasden.php,R,Lawrence,Wasden,Lawrence Wasden,Idaho,Elected: 2002, 2006, 2010, 2014,Statehouse, Boise, ID 83720-1000,(208) 334-2400,http://www.ag.idaho.gov/,lawrencewasden,
http://www.naag.org/naag/attorneys-general/whos-my-ag/illinois/lisa-madigan.php,D,Lisa,Madigan,Lisa Madigan,Illinois,Elected: 2002, 2006, 2010, 2014,James R. Thompson Ctr., 100 W. Randolph St., Chicago, IL 60601,(312) 814-3000,http://illinoisattorneygeneral.gov/,@LisaMadigan,http://www.naag.org/naag/attorneys-general/whos-my-ag/indiana/greg-zoeller.php
http://www.naag.org/naag/attorneys-general/whos-my-ag/kansas/derek-schmidt.php,R,Derek,Schmidt,Derek Schmidt,Kansas,Elected: 2010, 2014,120 S.W. 10th Ave., 2nd Fl., Topeka, KS 66612-1597,(785) 296-2215,https://www.ag.ks.gov/,KSAGOffice,
http://www.naag.org/naag/attorneys-general/whos-my-ag/kentucky/andy-beshear.php,D,Andy,Beshear,Andy Beshear,Kentucky,Elected: 2015,700 Capitol Avenue, Capitol Building, Suite 118, Frankfort, KY 40601,,http://ag.ky.gov/,AndyBeshearKY,
http://www.naag.org/naag/attorneys-general/whos-my-ag/louisiana/jeff-landry.php,R,Jeff,Landry,Jeff Landry,Louisiana,Elected: 2015,P.O. Box 94095, Baton Rouge, LA 70804-4095,225-326-6000,http://www.ag.state.la.us/,AGJeffLandry,
http://www.naag.org/naag/attorneys-general/whos-my-ag/maine/janet-t.-mills.php,D,Janet,Mills,Janet T. Mills,Maine,Appointed: 2008, 2012, 2014,State House Station 6, Augusta, ME 04333,(207) 626-8800,http://www.maine.gov/ag/,,T.
http://www.naag.org/naag/attorneys-general/whos-my-ag/maryland/brain-frosh.php,D,Brian,Frosh,Brian Frosh,Maryland,Elected: 2014,200 St. Paul Place, Baltimore, MD 21202-2202,(410) 576-6300,http://www.oag.state.md.us,BrianFrosh,
http://www.naag.org/naag/attorneys-general/whos-my-ag/massachusetts/maura-healey.php,D,Maura,Healey,Maura Healey,Massachusetts,Elected: 2014,1 Ashburton Place, Boston, MA 02108-1698,(617) 727-2200,,maura_healey,
http://www.naag.org/naag/attorneys-general/whos-my-ag/michigan/bill-schuette.php,R,Bill,Schuette,Bill Schuette,Michigan,Elected: 2010, 2014,P.O.Box 30212, 525 W. Ottawa St., Lansing, MI 48909-0212,(517) 373-1110,http://www.michigan.gov/ag,SchuetteOnDuty,
